num_epochs,accuracy,file_name
35,0.9726,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=3_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
15,0.9642,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=3_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
19,0.9708,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=3_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
14,0.9784,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=5_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
29,0.9762,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=5_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
18,0.9764,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=5_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
17,0.9724,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=5_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
15,0.9788,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=7_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
25,0.9794,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=7_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
12,0.9708,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=7_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
10,0.9784,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=7_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
17,0.9826,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=9_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
27,0.9806,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=9_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
13,0.9768,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=9_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
14,0.9786,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=9_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
10,0.9756,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=11_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
25,0.9784,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=11_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
16,0.9744,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=11_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
9,0.9752,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=11_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
7,0.977,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=13_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
17,0.976,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=13_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
11,0.9724,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=13_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
10,0.9766,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=3_width=null_filter=2_kernel=13_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
13,0.9684,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=3_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
6,0.1126,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=3_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
16,0.973,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=3_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
16,0.9666,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=3_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
23,0.9766,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=5_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
11,0.1126,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=5_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
12,0.9784,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=5_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
11,0.9694,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=5_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
19,0.9804,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=7_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
5,0.1126,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=7_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
17,0.9794,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=7_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
11,0.981,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=7_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
17,0.9798,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=9_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
4,0.1126,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=9_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
19,0.9804,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=9_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
